Amount,TimeOfDay,DaysSince,TransactionFreq,IsInternational,IsHighRiskCat,HasRecentFraud,FraudLabel
36.40,15.46,495,0.317527,false,false,false,0
268.55,17.30,702,0.444673,true,false,false,0
296.36,20.18,409,0.347733,false,false,false,0
26.79,19.98,604,0.480303,false,false,false,0
408.93,7.98,1003,0.674696,false,false,false,0
312.38,10.57,1085,0.581790,false,false,false,0
325.58,9.62,917,0.675306,false,false,false,0
124.00,7.55,432,0.665498,false,false,false,0
9473.41,1.83,18,0.184680,false,true,false,1
366.13,15.93,519,0.479349,true,false,false,0
395.58,10.82,494,0.477327,false,false,false,0
16910.23,1.64,48,0.177892,true,false,false,1
390.82,12.79,457,0.305496,false,false,false,0
377.09,14.41,832,0.596245,false,false,false,0
8766.87,4.95,68,0.098803,true,true,false,1
6254.74,5.42,58,0.082370,false,true,false,1
18948.03,3.31,59,0.071590,true,false,false,1
7340.00,4.41,69,0.148389,true,true,false,1
19062.17,4.22,23,0.168365,true,false,false,1
11950.60,1.96,36,0.099541,true,false,true,1
201.42,19.41,455,0.664879,false,false,false,0
220.22,11.43,948,0.527094,false,false,false,0
111.20,14.47,1070,0.592754,true,false,false,0
365.52,8.82,838,0.346691,true,false,false,0
8420.00,1.76,17,0.197320,true,true,false,1
13740.17,1.25,66,0.161684,false,true,true,1
397.10,16.32,758,0.681299,false,false,false,0
289.00,9.48,459,0.410807,false,false,false,0
9804.10,4.78,67,0.055861,true,true,false,1
151.57,8.19,1089,0.345632,false,true,false,0
137.93,10.21,842,0.650471,false,false,false,0
399.00,13.80,1077,0.690340,false,false,false,0
15639.52,2.17,49,0.192656,true,true,true,1
73.69,7.51,1032,0.379013,false,false,false,0
346.75,10.24,630,0.478493,false,false,false,0
11998.99,4.44,52,0.092820,true,false,false,1
8790.65,1.77,69,0.059013,false,true,false,1
84.96,19.90,1011,0.625613,true,true,false,0
226.93,13.72,415,0.366771,true,true,false,0
319.97,10.39,569,0.585106,false,false,false,0
14211.07,3.78,28,0.121817,false,false,false,1
105.36,8.07,682,0.619490,false,false,false,0
325.57,17.97,764,0.329958,false,false,false,0
11791.97,4.03,46,0.160678,true,true,true,1
11524.88,0.34,26,0.066849,false,false,false,1
7893.36,0.59,44,0.155559,true,true,false,1
188.17,16.46,884,0.696316,false,false,false,0
9468.27,0.99,66,0.099220,false,true,true,1
234.59,18.55,548,0.648273,false,false,false,0
378.88,9.18,462,0.490525,false,false,false,0
299.85,11.94,427,0.331671,true,false,false,0
403.29,11.74,931,0.426861,false,false,false,0
19188.89,5.58,46,0.138667,false,true,false,1
364.84,11.09,435,0.395037,false,false,false,0
14993.38,4.66,37,0.124565,true,true,false,1
154.01,9.08,1090,0.689990,false,false,false,0
142.17,14.11,541,0.682793,false,false,false,0
13465.31,5.63,50,0.052715,true,false,true,1
13892.42,4.11,45,0.196216,true,false,false,1
382.13,18.40,573,0.565556,false,false,false,0
200.06,8.06,612,0.577904,false,false,false,0
250.35,11.85,515,0.461909,false,false,false,0
16940.27,2.61,26,0.121056,false,true,false,1
34.18,8.83,443,0.431602,false,false,false,0
237.53,8.39,772,0.577139,false,false,false,0
39.03,11.75,547,0.473240,false,false,false,0
265.50,15.85,887,0.679368,false,false,false,0
11219.91,5.54,57,0.050903,true,true,false,1
11296.64,4.39,56,0.075991,true,false,false,1
354.28,12.48,906,0.387654,false,false,false,0
401.92,11.06,495,0.620134,false,false,false,0
16695.98,4.19,57,0.197312,true,true,false,1
292.97,13.23,940,0.625298,false,false,false,0
269.62,13.94,606,0.442785,false,false,false,0
14438.20,5.99,26,0.130812,true,true,false,1
19529.20,3.18,51,0.072794,true,true,true,1
60.67,20.97,563,0.437557,false,false,false,0
370.73,16.39,420,0.420029,false,false,false,0
95.58,12.68,392,0.414172,false,true,false,0
28.34,11.52,952,0.514782,true,false,false,0
179.58,12.86,523,0.382700,true,false,false,0
120.92,11.97,589,0.429609,false,false,false,0
62.34,17.33,589,0.664956,false,false,false,0
366.78,9.54,870,0.426458,false,true,false,0
300.09,11.23,722,0.341222,false,false,false,0
14.12,14.34,964,0.409386,false,false,false,0
160.36,16.53,785,0.335269,false,true,false,0
376.60,19.33,398,0.644709,false,false,false,0
251.96,10.44,634,0.654638,false,false,false,0
194.84,16.65,553,0.511827,false,false,false,0
16956.75,0.42,59,0.084948,true,true,false,1
58.82,10.51,990,0.572487,true,false,false,0
14463.27,0.45,29,0.096657,false,true,false,1
27.43,8.19,999,0.390016,false,false,false,0
96.43,11.48,887,0.554311,false,false,false,0
265.13,10.35,950,0.575389,false,false,false,0
18645.75,1.00,35,0.050559,false,false,false,1
18730.36,5.32,26,0.099166,true,false,true,1
195.21,13.24,474,0.353959,true,false,false,0
405.16,20.69,948,0.404766,false,false,false,0
368.00,8.80,839,0.629458,false,false,false,0
204.49,9.48,981,0.569752,false,false,false,0
304.82,19.32,445,0.349157,false,false,false,0
19970.15,0.38,21,0.084526,true,true,true,1
272.73,10.34,898,0.435730,false,false,false,0
9280.67,5.04,54,0.052977,true,true,false,1
269.97,14.54,440,0.658100,false,false,false,0
330.74,9.42,926,0.313860,false,false,false,0
12431.31,1.61,27,0.146673,true,false,false,1
